#
#  gcf_000012905cyc 28.1 Reactions link table generated on Tue Jul 23, 2024
#
RXN-14325	
TRANS-RXN1ZK9-13	
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
1.18.1.2-RXN	EC-1.18.1.2
PGLYCDEHYDROG-RXN	EC-1.1.1.95
RXN-14907	EC-2.6.1.77
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN0-299	EC-1.14.11.17
RXN-12244	
AMPSYN-RXN	EC-4.3.2.2
RXN-12623	EC-3.2.1.202
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	EC-2.4.2.28
RXN-11902	EC-1.3.7.7
GCVMULTI-RXN	EC-1.4.1
RXN-15035	EC-3.1.1.5
RXN-16333	
RXN-12575	EC-3.1.1.1
GART-RXN	EC-2.1.2.2
RXN3O-1983	
RXN-14963	EC-1.3.5.4
RXN-10058	EC-3.5.4.26
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
RXN-3521	
TREHALOSEPHOSPHA-RXN	EC-3.1.3.12
RXN-9024	EC-3.2.1.3
RXN0-5268	EC-7.1.1.3
3.1.11.6-RXN	EC-3.1.11.6
RXN-16690	
DAPASYN-RXN	EC-2.6.1.62
RXNMETA-12672	EC-1.2.1.91
ARGSUCCINLYA-RXN	EC-4.3.2.1
PMPOXI-RXN	EC-1.4.3.5
TRANS-RXN0-470	
1.1.1.271-RXN	EC-1.1.1.271
RXN-19312	EC-3.1.1.5
RXN-2962	EC-1.1.1.284
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.16
RXN-7609	EC-3.1.3.5
RXN-11566	EC-1.5.1.43
ALDXANAU-RXN	EC-1.2.1.4
RXN0-7271	
3.4.16.4-RXN	EC-3.4.16.4
RXN-18703	
RXN-9615	
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
MALEYLACETATE-REDUCTASE-RXN	EC-1.3.1.32
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
RXN0-5359	EC-2.7.7.65
RXN-20154	
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
D-ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.21
