RSP_3043-MONOMER	RSP_3043	Q3IXS5	hypothetical protein	
RSP_2256-MONOMER	RSP_2256	Q3J474	D-tyrosyl-tRNA deacylase	
RSP_1031-MONOMER	RSP_1031	Q3IZ19	endonuclease III; DNA-(apurinic or apyrimidinic site) lyase	
RSP_0108-MONOMER	RSP_0108	Q3J1Q1	NADH dehydrogenase I chain J	
RSP_2581-MONOMER	RSP_2581	Q3J396	Rhodanese	
CPLX1ZK9-100			predicted ABC transporter of a Coalpha-[alpha-(5,6-dimethylbenzimidazolyl)]-cobamide/Fe3+	
RSP_4013-MONOMER	RSP_4013	Q3IVI3	ketosteroid isomerase-like enzyme	
RSP_2800-MONOMER	RSP_2800	Q3J2G9	Putative AcoR, Transcriptional activator of acetoin/glycerol metabolism	
RSP_0665-MONOMER	RSP_0665	Q3J045	membrane protease FtsH catalytic subunit	
RSP_1818-MONOMER	RSP_1818	Q3J5G9	Fe2+ transport system protein B	
RSP_2714-MONOMER	RSP_2714	Q3J2W5	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	
RSP_0282-MONOMER	RSP_0282	Q3J179	Transcriptional regulator, PpsR	
RSP_0414-MONOMER	RSP_0414	Q3J0U4	putative integral membrane protein	
RSP_3410-MONOMER	RSP_3410	Q3IWS0	TRAP-T family transporter, periplasmic binding protein	
RSP_1496-MONOMER	RSP_1496	Q3J6E6	hypothetical protein	
RSP_6161-MONOMER	RSP_6161	Q3IXR3	SH3 domain-containing protein	
RSP_2370-MONOMER	RSP_2370	Q3J3V6	putative sugar kinase	
RSP_1425-MONOMER	RSP_1425	Q3IVK9	Plasmid replication initiation protein	
RSP_3917-MONOMER	RSP_3917	Q3HKG3	ABC polysaccharide export transporter, inner membrane subunit	
RSP_3064-MONOMER	RSP_3064	Q3IXQ3	transcriptional regulator, DeoR family	
RSP_4203-MONOMER	RSP_4203	Q3IUY1	putative glutaredoxin family protein/Thio-disulfide isomerase	
RSP_3676-MONOMER	RSP_3676	Q3IVZ9	transcriptional regulator, GntR family	
RSP_0088-MONOMER	RSP_0088	Q3J1S1	ycfI, putative structural proteins	
RSP_1734-MONOMER	RSP_1734	Q3J5Q3	LSU ribosomal protein L15P	
RSP_1504-MONOMER	RSP_1504	Q3J6D9	hypothetical protein	
RSP_0894-MONOMER	RSP_0894	Q3IZF8	putative translation initiation inhibitor, yjgF family	
RSP_2760-MONOMER	RSP_2760	Q3J2R8	hypothetical protein	
RSP_7544-MONOMER	RSP_7544	U5NRH5	hypothetical protein	
RSP_2411-MONOMER	RSP_2411	Q3J3R2	methylase involved in ubiquinone/menaquinone biosynthesis	
RSP_7612-MONOMER	RSP_7612	U5NRN6	hypothetical protein	
RSP_3467-MONOMER	RSP_3467	Q3IWL3	hypothetical protein	
